Epoch,Train Loss,Val Loss,Train MSE,Train MAE,Val MSE,Val MAE
1,0.1208,0.0364,0.1235,0.2946,0.0396,0.1780
2,0.0308,0.0170,0.0314,0.1449,0.0188,0.1161
3,0.0094,0.0049,0.0097,0.0797,0.0047,0.0572
4,0.0037,0.0058,0.0037,0.0503,0.0053,0.0566
5,0.0030,0.0039,0.0030,0.0447,0.0037,0.0491
6,0.0026,0.0035,0.0026,0.0418,0.0033,0.0451
7,0.0027,0.0036,0.0027,0.0416,0.0033,0.0448
8,0.0025,0.0034,0.0025,0.0400,0.0032,0.0427
9,0.0023,0.0028,0.0023,0.0391,0.0027,0.0387
10,0.0021,0.0031,0.0021,0.0370,0.0029,0.0400
11,0.0021,0.0029,0.0021,0.0362,0.0027,0.0382
12,0.0021,0.0031,0.0021,0.0354,0.0029,0.0400
13,0.0020,0.0036,0.0021,0.0354,0.0033,0.0438
14,0.0018,0.0032,0.0018,0.0334,0.0030,0.0406
15,0.0018,0.0029,0.0018,0.0325,0.0027,0.0381
16,0.0017,0.0030,0.0017,0.0324,0.0028,0.0393
17,0.0019,0.0031,0.0019,0.0332,0.0029,0.0400
18,0.0018,0.0029,0.0019,0.0329,0.0028,0.0385
19,0.0017,0.0035,0.0017,0.0315,0.0033,0.0435
