Epoch,Train Loss,Val Loss,Train MSE,Train MAE,Val MSE,Val MAE
1,0.1468,0.0433,0.1483,0.3101,0.0465,0.2043
2,0.0115,0.0042,0.0116,0.0860,0.0037,0.0468
3,0.0033,0.0032,0.0033,0.0462,0.0029,0.0412
4,0.0025,0.0037,0.0025,0.0396,0.0033,0.0441
5,0.0023,0.0033,0.0023,0.0378,0.0030,0.0414
6,0.0022,0.0034,0.0023,0.0369,0.0032,0.0427
7,0.0020,0.0030,0.0020,0.0352,0.0029,0.0404
8,0.0017,0.0026,0.0017,0.0325,0.0026,0.0369
9,0.0018,0.0030,0.0018,0.0324,0.0030,0.0409
10,0.0021,0.0026,0.0021,0.0345,0.0026,0.0373
11,0.0018,0.0024,0.0017,0.0318,0.0025,0.0361
12,0.0018,0.0029,0.0018,0.0315,0.0029,0.0414
13,0.0016,0.0026,0.0016,0.0302,0.0026,0.0381
14,0.0017,0.0032,0.0017,0.0302,0.0032,0.0448
15,0.0016,0.0026,0.0016,0.0301,0.0027,0.0393
16,0.0017,0.0020,0.0017,0.0313,0.0021,0.0320
17,0.0015,0.0020,0.0015,0.0297,0.0021,0.0325
18,0.0015,0.0024,0.0015,0.0286,0.0025,0.0370
19,0.0017,0.0020,0.0017,0.0298,0.0021,0.0326
20,0.0015,0.0019,0.0015,0.0296,0.0021,0.0321
21,0.0016,0.0024,0.0016,0.0301,0.0025,0.0382
22,0.0014,0.0020,0.0015,0.0278,0.0022,0.0335
23,0.0015,0.0020,0.0015,0.0283,0.0021,0.0327
24,0.0015,0.0019,0.0015,0.0287,0.0020,0.0319
25,0.0014,0.0019,0.0014,0.0282,0.0021,0.0323
26,0.0014,0.0018,0.0014,0.0285,0.0020,0.0313
27,0.0014,0.0026,0.0014,0.0279,0.0028,0.0414
28,0.0015,0.0024,0.0014,0.0291,0.0026,0.0394
29,0.0014,0.0019,0.0014,0.0285,0.0020,0.0318
30,0.0014,0.0023,0.0013,0.0272,0.0025,0.0381
31,0.0013,0.0020,0.0014,0.0275,0.0022,0.0337
32,0.0014,0.0021,0.0014,0.0276,0.0023,0.0356
33,0.0014,0.0020,0.0014,0.0278,0.0022,0.0338
34,0.0014,0.0021,0.0014,0.0284,0.0023,0.0356
35,0.0014,0.0021,0.0014,0.0275,0.0023,0.0358
36,0.0015,0.0019,0.0015,0.0286,0.0021,0.0333
