Epoch,Train Loss,Val Loss,Train MSE,Train MAE,Val MSE,Val MAE
1,0.0972,0.0194,0.0990,0.2490,0.0194,0.1167
2,0.0069,0.0053,0.0070,0.0656,0.0053,0.0581
3,0.0028,0.0030,0.0027,0.0418,0.0030,0.0435
4,0.0023,0.0027,0.0023,0.0375,0.0027,0.0399
5,0.0020,0.0020,0.0020,0.0343,0.0020,0.0343
6,0.0017,0.0019,0.0017,0.0313,0.0019,0.0317
7,0.0015,0.0020,0.0015,0.0289,0.0020,0.0303
8,0.0015,0.0012,0.0015,0.0290,0.0012,0.0215
9,0.0015,0.0020,0.0015,0.0290,0.0020,0.0309
10,0.0014,0.0016,0.0014,0.0273,0.0016,0.0250
11,0.0014,0.0016,0.0014,0.0273,0.0016,0.0256
12,0.0015,0.0013,0.0015,0.0285,0.0013,0.0217
13,0.0013,0.0017,0.0013,0.0255,0.0017,0.0269
14,0.0013,0.0022,0.0013,0.0264,0.0022,0.0332
15,0.0013,0.0020,0.0013,0.0266,0.0020,0.0309
16,0.0013,0.0014,0.0013,0.0255,0.0014,0.0226
17,0.0013,0.0014,0.0013,0.0263,0.0014,0.0228
18,0.0013,0.0012,0.0013,0.0260,0.0012,0.0202
19,0.0013,0.0016,0.0013,0.0262,0.0016,0.0251
20,0.0013,0.0015,0.0013,0.0258,0.0015,0.0250
21,0.0013,0.0013,0.0013,0.0259,0.0013,0.0213
22,0.0013,0.0014,0.0013,0.0265,0.0014,0.0237
23,0.0012,0.0011,0.0012,0.0257,0.0011,0.0196
24,0.0012,0.0013,0.0011,0.0248,0.0013,0.0212
25,0.0013,0.0014,0.0012,0.0260,0.0014,0.0231
26,0.0013,0.0014,0.0013,0.0271,0.0014,0.0228
27,0.0012,0.0013,0.0012,0.0259,0.0013,0.0210
28,0.0012,0.0014,0.0012,0.0254,0.0014,0.0229
29,0.0013,0.0013,0.0013,0.0261,0.0013,0.0224
30,0.0011,0.0012,0.0011,0.0243,0.0012,0.0199
31,0.0011,0.0011,0.0011,0.0249,0.0011,0.0198
32,0.0012,0.0011,0.0011,0.0246,0.0011,0.0199
33,0.0011,0.0012,0.0011,0.0244,0.0012,0.0200
34,0.0011,0.0011,0.0011,0.0243,0.0011,0.0192
35,0.0011,0.0012,0.0011,0.0241,0.0012,0.0205
36,0.0012,0.0012,0.0012,0.0249,0.0012,0.0200
37,0.0011,0.0012,0.0011,0.0247,0.0012,0.0211
38,0.0011,0.0011,0.0011,0.0242,0.0011,0.0191
39,0.0012,0.0012,0.0011,0.0242,0.0012,0.0212
40,0.0011,0.0013,0.0011,0.0237,0.0013,0.0218
41,0.0011,0.0011,0.0011,0.0236,0.0011,0.0193
42,0.0011,0.0011,0.0011,0.0240,0.0011,0.0198
43,0.0012,0.0011,0.0012,0.0253,0.0011,0.0194
44,0.0011,0.0011,0.0011,0.0240,0.0011,0.0199
45,0.0011,0.0011,0.0011,0.0242,0.0011,0.0195
46,0.0011,0.0011,0.0011,0.0244,0.0011,0.0195
47,0.0011,0.0011,0.0011,0.0244,0.0011,0.0191
48,0.0010,0.0011,0.0010,0.0238,0.0011,0.0192
49,0.0011,0.0011,0.0011,0.0242,0.0011,0.0194
50,0.0011,0.0011,0.0011,0.0246,0.0011,0.0195
51,0.0010,0.0011,0.0010,0.0233,0.0011,0.0197
52,0.0011,0.0011,0.0011,0.0236,0.0011,0.0191
53,0.0011,0.0010,0.0011,0.0239,0.0010,0.0188
54,0.0012,0.0011,0.0012,0.0249,0.0011,0.0193
55,0.0011,0.0011,0.0011,0.0244,0.0011,0.0193
56,0.0010,0.0011,0.0010,0.0236,0.0011,0.0195
57,0.0010,0.0011,0.0011,0.0236,0.0011,0.0191
58,0.0012,0.0011,0.0011,0.0249,0.0011,0.0193
59,0.0011,0.0010,0.0011,0.0237,0.0010,0.0188
60,0.0010,0.0011,0.0010,0.0238,0.0011,0.0194
61,0.0010,0.0011,0.0010,0.0232,0.0011,0.0190
62,0.0011,0.0011,0.0011,0.0244,0.0011,0.0190
63,0.0010,0.0011,0.0010,0.0235,0.0011,0.0193
64,0.0011,0.0011,0.0011,0.0241,0.0011,0.0193
65,0.0011,0.0011,0.0010,0.0237,0.0011,0.0189
66,0.0011,0.0011,0.0011,0.0243,0.0011,0.0190
67,0.0010,0.0011,0.0011,0.0239,0.0011,0.0194
68,0.0010,0.0011,0.0010,0.0237,0.0011,0.0192
69,0.0010,0.0011,0.0010,0.0236,0.0011,0.0190
70,0.0011,0.0011,0.0010,0.0238,0.0011,0.0193
71,0.0011,0.0011,0.0011,0.0240,0.0011,0.0190
72,0.0012,0.0011,0.0012,0.0245,0.0011,0.0190
73,0.0010,0.0011,0.0010,0.0235,0.0011,0.0191
74,0.0011,0.0011,0.0011,0.0245,0.0011,0.0192
