Price,Adj Close,Close,High,Low,Open,Volume
Ticker,055550.KS,055550.KS,055550.KS,055550.KS,055550.KS,055550.KS
Date,,,,,,
2014-11-17 00:00:00+00:00,31524.568359375,48600.0,48950.0,47200.0,47850.0,421911
2014-11-18 00:00:00+00:00,31200.240234375,48100.0,48450.0,47700.0,48200.0,637162
2014-11-19 00:00:00+00:00,31978.625,49300.0,49300.0,48500.0,48650.0,923275
2014-11-20 00:00:00+00:00,31946.19140625,49250.0,49400.0,48350.0,48850.0,936461
2014-11-21 00:00:00+00:00,31784.029296875,49000.0,49600.0,48550.0,49500.0,743515
2014-11-24 00:00:00+00:00,32367.814453125,49900.0,50300.0,49300.0,49800.0,686702
2014-11-25 00:00:00+00:00,31978.625,49300.0,50300.0,49150.0,50000.0,1146654
2014-11-26 00:00:00+00:00,32432.681640625,50000.0,50300.0,49500.0,50100.0,653199
2014-11-27 00:00:00+00:00,32173.212890625,49600.0,49950.0,49000.0,49000.0,272065
2014-11-28 00:00:00+00:00,32173.212890625,49600.0,49950.0,49300.0,49800.0,626528
2014-12-01 00:00:00+00:00,32075.91796875,49450.0,49750.0,48700.0,48700.0,1149663
2014-12-02 00:00:00+00:00,31881.32421875,49150.0,49450.0,48600.0,49450.0,1259931
2014-12-03 00:00:00+00:00,31913.765625,49200.0,49500.0,48850.0,49100.0,769121
2014-12-04 00:00:00+00:00,31848.892578125,49100.0,49750.0,49000.0,49450.0,665178
2014-12-05 00:00:00+00:00,31881.32421875,49150.0,49400.0,48750.0,49000.0,532614
2014-12-08 00:00:00+00:00,31751.595703125,48950.0,49450.0,48500.0,48500.0,625955
2014-12-09 00:00:00+00:00,31589.431640625,48700.0,48900.0,48250.0,48500.0,774276
2014-12-10 00:00:00+00:00,31297.5390625,48250.0,48700.0,47900.0,48300.0,895041
2014-12-11 00:00:00+00:00,31589.431640625,48700.0,48700.0,47300.0,47300.0,1082052
2014-12-12 00:00:00+00:00,31232.671875,48150.0,49100.0,47500.0,49100.0,1129680
2014-12-15 00:00:00+00:00,30940.76953125,47700.0,48200.0,47300.0,48000.0,438612
2014-12-16 00:00:00+00:00,30551.578125,47100.0,48050.0,46800.0,47350.0,1040594
2014-12-17 00:00:00+00:00,30454.28515625,46950.0,47650.0,46950.0,47200.0,809897
2014-12-18 00:00:00+00:00,30746.1796875,47400.0,47550.0,46800.0,47450.0,687033
2014-12-19 00:00:00+00:00,30875.90625,47600.0,48100.0,47200.0,48000.0,691462
2014-12-22 00:00:00+00:00,30486.720703125,47000.0,47800.0,46950.0,47800.0,571617
2014-12-23 00:00:00+00:00,30486.720703125,47000.0,47100.0,46600.0,47000.0,471229
2014-12-24 00:00:00+00:00,30648.876953125,47250.0,47350.0,46550.0,46550.0,489447
2014-12-26 00:00:00+00:00,30875.90625,47600.0,47600.0,47050.0,47250.0,523703
2014-12-29 00:00:00+00:00,30710.4453125,46400.0,47100.0,46400.0,47100.0,430427
2014-12-30 00:00:00+00:00,29419.810546875,44450.0,46550.0,44450.0,46300.0,1094738
2015-01-02 00:00:00+00:00,29452.90234375,44500.0,45150.0,44100.0,44150.0,827164
2015-01-05 00:00:00+00:00,29254.34765625,44200.0,44650.0,43250.0,44600.0,1064695
2015-01-06 00:00:00+00:00,28824.13671875,43550.0,43900.0,43200.0,43800.0,898753
2015-01-07 00:00:00+00:00,28129.1796875,42500.0,43100.0,42400.0,42850.0,1074365
2015-01-08 00:00:00+00:00,29585.28125,44700.0,45000.0,42300.0,42500.0,1473811
2015-01-09 00:00:00+00:00,29816.9296875,45050.0,45700.0,44450.0,45150.0,681001
2015-01-12 00:00:00+00:00,28791.041015625,43500.0,44700.0,43400.0,44150.0,649190
2015-01-13 00:00:00+00:00,28956.505859375,43750.0,44400.0,43050.0,43050.0,590376
2015-01-14 00:00:00+00:00,29022.69140625,43850.0,44300.0,43500.0,43800.0,635923
2015-01-15 00:00:00+00:00,28658.671875,43300.0,44150.0,43000.0,44000.0,929782
2015-01-16 00:00:00+00:00,28460.10546875,43000.0,43500.0,42150.0,42500.0,735556
2015-01-19 00:00:00+00:00,28559.38671875,43150.0,43900.0,42950.0,43050.0,417275
2015-01-20 00:00:00+00:00,28857.224609375,43600.0,43800.0,43200.0,43200.0,303159
2015-01-21 00:00:00+00:00,29188.16015625,44100.0,44100.0,43550.0,44000.0,632786
2015-01-22 00:00:00+00:00,29221.248046875,44150.0,44300.0,43850.0,44000.0,597228
2015-01-23 00:00:00+00:00,30147.857421875,45550.0,45850.0,44650.0,44700.0,975504
2015-01-26 00:00:00+00:00,30743.541015625,46450.0,46700.0,45150.0,45550.0,873416
2015-01-27 00:00:00+00:00,30875.904296875,46650.0,46950.0,45500.0,46950.0,933859
2015-01-28 00:00:00+00:00,29684.548828125,44850.0,46050.0,44700.0,45950.0,1225199
2015-01-29 00:00:00+00:00,30180.9609375,45600.0,45900.0,44150.0,44550.0,872486
2015-01-30 00:00:00+00:00,29783.83203125,45000.0,46000.0,44750.0,45650.0,963685
2015-02-02 00:00:00+00:00,29618.3671875,44750.0,45000.0,44000.0,44000.0,739740
2015-02-03 00:00:00+00:00,30114.7734375,45500.0,46300.0,44650.0,45200.0,1003171
2015-02-04 00:00:00+00:00,30247.146484375,45700.0,46150.0,45400.0,46050.0,775542
2015-02-05 00:00:00+00:00,28625.5703125,43250.0,45000.0,43100.0,45000.0,2234154
2015-02-06 00:00:00+00:00,28592.484375,43200.0,43600.0,42600.0,43100.0,1003149
2015-02-09 00:00:00+00:00,27698.9609375,41850.0,43150.0,41750.0,42700.0,1492048
2015-02-10 00:00:00+00:00,27732.056640625,41900.0,42450.0,41700.0,42100.0,1168376
2015-02-11 00:00:00+00:00,27930.61328125,42200.0,42850.0,41900.0,41900.0,1244985
2015-02-12 00:00:00+00:00,27301.84765625,41250.0,42350.0,41050.0,42000.0,1411965
2015-02-13 00:00:00+00:00,28393.92578125,42900.0,42900.0,41250.0,41250.0,825715
2015-02-16 00:00:00+00:00,28327.740234375,42800.0,43000.0,42450.0,42500.0,308039
2015-02-17 00:00:00+00:00,28691.7578125,43350.0,43600.0,42500.0,42900.0,513441
2015-02-23 00:00:00+00:00,28625.5703125,43250.0,44100.0,42900.0,43850.0,760372
2015-02-24 00:00:00+00:00,28989.59765625,43800.0,43800.0,42700.0,43750.0,942471
2015-02-25 00:00:00+00:00,29155.060546875,44050.0,44300.0,43300.0,43850.0,696110
2015-02-26 00:00:00+00:00,28824.13671875,43550.0,44000.0,43450.0,43650.0,787956
2015-02-27 00:00:00+00:00,28923.41015625,43700.0,44000.0,43450.0,43550.0,1001998
2015-03-02 00:00:00+00:00,27930.61328125,42200.0,43850.0,42200.0,43500.0,981661
2015-03-03 00:00:00+00:00,27996.806640625,42300.0,43000.0,42250.0,42450.0,892366
2015-03-04 00:00:00+00:00,27500.408203125,41550.0,42850.0,41550.0,42250.0,1147772
2015-03-05 00:00:00+00:00,27698.9609375,41850.0,42100.0,41600.0,41600.0,1070243
2015-03-06 00:00:00+00:00,27467.318359375,41500.0,42100.0,41300.0,42050.0,1787600
2015-03-09 00:00:00+00:00,27070.19921875,40900.0,41700.0,40800.0,41500.0,1221404
2015-03-10 00:00:00+00:00,27798.25,42000.0,42250.0,40900.0,41100.0,1290019
2015-03-11 00:00:00+00:00,27202.568359375,41100.0,41750.0,41050.0,41050.0,1935842
2015-03-12 00:00:00+00:00,27798.25,42000.0,42600.0,40650.0,40850.0,3069192
2015-03-13 00:00:00+00:00,27202.568359375,41100.0,42400.0,41050.0,42300.0,1467529
2015-03-16 00:00:00+00:00,27368.044921875,41350.0,41800.0,40650.0,41300.0,1074381
2015-03-17 00:00:00+00:00,28129.1796875,42500.0,42700.0,41650.0,41750.0,1591078
2015-03-18 00:00:00+00:00,28228.45703125,42650.0,43200.0,42500.0,42750.0,1585949
2015-03-19 00:00:00+00:00,28757.94140625,43450.0,43450.0,42550.0,43150.0,1327339
2015-03-20 00:00:00+00:00,29121.974609375,44000.0,44000.0,43350.0,43600.0,1599400
2015-03-23 00:00:00+00:00,28691.7578125,43350.0,44200.0,43350.0,43950.0,1545278
2015-03-24 00:00:00+00:00,27632.78515625,41750.0,43200.0,41700.0,42950.0,1646788
2015-03-25 00:00:00+00:00,27037.10546875,40850.0,41800.0,40800.0,41500.0,2088689
2015-03-26 00:00:00+00:00,27665.873046875,41800.0,42000.0,40650.0,40700.0,1007722
2015-03-27 00:00:00+00:00,27996.806640625,42300.0,42300.0,41200.0,41250.0,766552
2015-03-30 00:00:00+00:00,27268.755859375,41200.0,42450.0,41000.0,41950.0,1128927
2015-03-31 00:00:00+00:00,27765.150390625,41950.0,42100.0,41500.0,41750.0,955877
2015-04-01 00:00:00+00:00,27268.755859375,41200.0,42300.0,41000.0,42100.0,604384
2015-04-02 00:00:00+00:00,27202.568359375,41100.0,41250.0,40950.0,41000.0,847139
2015-04-03 00:00:00+00:00,27401.126953125,41400.0,41450.0,41050.0,41050.0,425698
2015-04-06 00:00:00+00:00,26970.9140625,40750.0,41300.0,40700.0,41200.0,891953
2015-04-07 00:00:00+00:00,26507.61328125,40050.0,41000.0,39900.0,40800.0,1195164
2015-04-08 00:00:00+00:00,26077.408203125,39400.0,39950.0,39050.0,39900.0,1774884
2015-04-09 00:00:00+00:00,26011.216796875,39300.0,39850.0,39000.0,39800.0,1509149
2015-04-10 00:00:00+00:00,26706.171875,40350.0,40500.0,39500.0,39750.0,1577508
2015-04-13 00:00:00+00:00,27202.568359375,41100.0,41300.0,40150.0,40700.0,1998480
2015-04-14 00:00:00+00:00,28427.015625,42950.0,43400.0,41000.0,41050.0,2764169
2015-04-15 00:00:00+00:00,27732.056640625,41900.0,43600.0,41700.0,43600.0,1661865
2015-04-16 00:00:00+00:00,28228.45703125,42650.0,42750.0,41100.0,41800.0,1248754
2015-04-17 00:00:00+00:00,28493.20703125,43050.0,43200.0,42650.0,43000.0,988329
2015-04-20 00:00:00+00:00,28427.015625,42950.0,43350.0,42450.0,42700.0,1326431
2015-04-21 00:00:00+00:00,28195.36328125,42600.0,43050.0,42350.0,43050.0,675105
2015-04-22 00:00:00+00:00,28526.296875,43100.0,43100.0,42600.0,42800.0,1073301
2015-04-23 00:00:00+00:00,29585.28125,44700.0,45150.0,43350.0,44200.0,2201006
2015-04-24 00:00:00+00:00,30048.583984375,45400.0,47050.0,44900.0,44900.0,2475419
2015-04-27 00:00:00+00:00,29750.7421875,44950.0,46250.0,44700.0,46100.0,1095426
